Contrast,Method,Lipid_Class,Sig.Level,Tentative_Lipid_ID,logFC,t,P.Value,adj.P.Val,B,Sig.Level,MetaboAnalysisDate,ExclusionVersion,AveExpr
PFHxA,1,PC,<0.1,"PC(35:3),PC(O-36:3),PC(P-36:2)",0.56901,2.3035,0.023,0.094,-3.364,<0.1,12524,E3,-1.43E-16
PFHxA,1,PC,NA,"PC(35:4),PC(O-36:4),PC(P-36:3)",NA,NA,NA,NA,NA,NA,12524,E3,NA
PFHxA,1,PC,<0.1,"PC(36:3),PC(P-37:2)",0.45113,2.3108,0.022,0.094,-3.3497,<0.1,12524,E3,1.68E-16
PFHxA,1,PC,<0.1,"PC(36:4),PC(O-37:4)",0.54915,2.2768,0.024,0.097,-3.4166,<0.1,12524,E3,-1.41E-16
PFHxA,1,PC,<0.1,PC(36:5),0.50138,2.4629,0.015,0.094,-3.0394,<0.1,12524,E3,-4.41E-17
PFHxA,1,PC,NA,"PC(36:8),PC(35:1),PC(O-36:1),PC(P-36:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
PFHxA,1,PC,NA,"PC(37:4),PC(O-38:4),PC(P-38:3)",NA,NA,NA,NA,NA,NA,12524,E3,NA
PFHxA,1,PC,<0.1,"PC(37:6),PC(O-38:6),PC(P-38:5)",0.71248,2.4941,0.014,0.094,-2.9734,<0.1,12524,E3,-3.64E-16
PFHxA,1,PC,NA,"PC(37:7),PC(P-38:6),PC(36:0),PC(O-37:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
PFHxA,1,PC,<0.1,PC(38:3),0.64646,2.3797,0.019,0.094,-3.2114,<0.1,12524,E3,-7.17E-17
PFHxA,1,PC,<0.1,PC(38:4),0.65963,2.4011,0.018,0.094,-3.1676,<0.1,12524,E3,-2.02E-16
PFHxA,1,PC,<0.1,PC(38:5),0.67271,2.8711,0.005,0.094,-2.119,<0.1,12524,E3,-6.42E-17
PFHxA,1,PC,<0.1,PC(38:6),0.64543,2.7251,0.007,0.094,-2.4627,<0.1,12524,E3,-1.86E-16
PFHxA,1,PC,<0.1,"PC(38:7),PC(37:0),PC(O-38:0)",0.50166,2.5655,0.011,0.094,-2.8199,<0.1,12524,E3,-9.76E-17
PFHxA,1,PC,<0.1,"PC(38:8),PC(37:1),PC(O-38:1),PC(P-38:0)",0.6645,2.347,0.020,0.094,-3.2774,<0.1,12524,E3,-3.06E-16
PFHxA,1,PC,NA,"PC(38:9),PC(37:2),PC(O-38:2),PC(P-38:1)",NA,NA,NA,NA,NA,NA,12524,E3,NA
PFHxA,1,PC,NA,"PC(39:6),PC(O-40:6),PC(P-40:5)",NA,NA,NA,NA,NA,NA,12524,E3,NA
PFHxA,1,PC,<0.1,"PC(39:7),PC(P-40:6),PC(38:0),PC(O-39:0)",0.77131,2.6422,0.009,0.094,-2.6507,<0.1,12524,E3,-2.36E-16
PFHxA,1,PC,<0.1,PC(40:5),0.69714,2.3969,0.018,0.094,-3.1763,<0.1,12524,E3,-1.80E-16
PFHxA,1,PC,<0.1,PC(40:6),0.78862,3.2087,0.002,0.094,-1.2651,<0.1,12524,E3,-1.07E-16
PFHxA,1,PC,<0.1,"PC(40:7),PC(39:0),PC(O-40:0)",0.5689,2.4606,0.015,0.094,-3.0442,<0.1,12524,E3,5.97E-18
PFHxA,1,PC,NA,"PC(40:8),PC(39:1),PC(O-40:1),PC(P-40:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
PFHxA,1,PC,<0.1,PC(42:3),0.66652,2.35,0.020,0.094,-3.2715,<0.1,12524,E3,1.74E-16
PFHxA,1,PC,NA,PC(42:5),NA,NA,NA,NA,NA,NA,12524,E3,NA
PFHxA,1,PC,<0.1,"PC(42:7),PC(41:0),PC(O-42:0)",0.78705,2.837,0.005,0.094,-2.2007,<0.1,12524,E3,1.11E-17
PFHxA,1,PC,<0.1,"PC(42:8),PC(41:1),PC(O-42:1),PC(P-42:0)",0.70492,2.3762,0.019,0.094,-3.2184,<0.1,12524,E3,-1.23E-16
PFHxA,1,PC,<0.1,"PC(O-38:8),PC(36:1),PC(O-37:1),PC(P-37:0)",0.66707,2.2601,0.025,0.098,-3.4491,<0.1,12524,E3,-2.72E-16
PFHxA,1,PC,<0.1,"PC(O-38:9),PC(36:2),PC(O-37:2),PC(P-37:1)",0.66058,2.7834,0.006,0.094,-2.3274,<0.1,12524,E3,-7.88E-17
